Household_ID,Date,Energy_Consumption_kWh,Household_Size,Avg_Temperature_C,Has_AC,Peak_Hours_Usage_kWh
H00001,2025-04-01,8.4,4,17.8,No,3.2
H00001,2025-04-02,7.9,4,17.3,No,2.8
H00001,2025-04-03,9.2,4,18.6,No,3.0
H00001,2025-04-04,7.9,4,18.2,No,2.7
H00001,2025-04-05,9.6,4,11.9,No,3.2
H00001,2025-04-06,7.5,4,18.3,No,2.8
H00001,2025-04-07,9.1,4,15.1,No,3.2
H00002,2025-04-01,11.9,5,18.0,No,4.2
H00002,2025-04-02,12.4,5,12.7,No,4.9
H00002,2025-04-03,12.1,5,19.7,No,4.5
H00002,2025-04-04,11.1,5,18.4,No,4.1
H00002,2025-04-05,13.9,5,19.6,No,5.1
H00002,2025-04-06,14.7,5,18.5,No,4.8
H00002,2025-04-07,11.3,5,20.9,No,3.9
H00003,2025-04-01,7.6,3,18.2,No,2.7
H00003,2025-04-02,7.6,3,12.5,No,2.5
H00003,2025-04-03,7.2,3,14.0,No,2.2
H00003,2025-04-04,8.0,3,18.9,No,3.1
H00003,2025-04-05,7.7,3,16.2,No,2.9
H00003,2025-04-06,6.4,3,18.3,No,2.4
H00003,2025-04-07,9.1,3,19.7,No,3.0
H00004,2025-04-01,18.8,5,16.8,Yes,7.8
H00004,2025-04-02,18.8,5,16.2,Yes,9.2
H00004,2025-04-03,20.0,5,20.2,Yes,8.7
H00004,2025-04-04,16.1,5,16.4,Yes,7.4
H00004,2025-04-05,17.4,5,14.0,Yes,7.2
H00004,2025-04-06,17.7,5,17.0,Yes,8.1
H00004,2025-04-07,17.0,5,18.0,Yes,8.2
H00005,2025-04-01,12.0,5,14.7,No,3.8
H00005,2025-04-02,14.1,5,17.8,No,4.3
H00005,2025-04-03,12.3,5,20.8,No,4.6
H00005,2025-04-04,12.4,5,20.4,No,3.9
H00005,2025-04-05,13.4,5,19.7,No,4.7
H00005,2025-04-06,15.3,5,19.1,No,5.1
H00005,2025-04-07,13.2,5,13.5,No,4.5
H00006,2025-04-01,4.4,2,15.9,No,1.5
H00006,2025-04-02,6.5,2,16.6,No,2.5
H00006,2025-04-03,3.1,2,16.8,No,1.0
H00006,2025-04-04,3.5,2,18.3,No,1.3
H00006,2025-04-05,2.8,2,17.2,No,1.1
H00006,2025-04-06,5.2,2,16.4,No,2.1
H00006,2025-04-07,8.5,2,15.9,No,2.9
H00007,2025-04-01,7.7,3,15.4,No,3.0
H00007,2025-04-02,8.2,3,14.6,No,2.9
H00007,2025-04-03,9.4,3,21.1,No,3.4
H00007,2025-04-04,5.7,3,18.5,No,1.7
H00007,2025-04-05,10.7,3,20.1,No,3.9
H00007,2025-04-06,8.5,3,18.5,No,2.6
H00007,2025-04-07,7.4,3,20.9,No,2.5
H00008,2025-04-01,10.6,3,21.5,Yes,5.2
H00008,2025-04-02,12.2,3,15.9,Yes,5.3
H00008,2025-04-03,10.5,3,15.2,Yes,4.4
H00008,2025-04-04,12.8,3,18.1,Yes,6.0
H00008,2025-04-05,10.6,3,18.6,Yes,5.2
H00008,2025-04-06,11.5,3,19.7,Yes,5.6
H00008,2025-04-07,12.8,3,19.8,Yes,5.3
H00009,2025-04-01,7.3,3,16.9,No,2.2
H00009,2025-04-02,8.3,3,13.9,No,2.9
H00009,2025-04-03,7.6,3,17.6,No,2.3
H00009,2025-04-04,9.5,3,20.4,No,3.1
H00009,2025-04-05,7.8,3,16.8,No,2.7
H00009,2025-04-06,8.2,3,15.9,No,2.7
H00009,2025-04-07,6.6,3,18.7,No,2.0
H00010,2025-04-01,13.5,5,14.8,No,4.5
H00010,2025-04-02,11.7,5,23.6,No,4.3
H00010,2025-04-03,13.6,5,12.5,No,5.3
H00010,2025-04-04,11.3,5,17.3,No,4.2
H00010,2025-04-05,12.0,5,17.9,No,4.6
H00010,2025-04-06,10.9,5,16.2,No,3.5
H00010,2025-04-07,13.0,5,17.8,No,4.3
H00011,2025-04-01,10.3,4,17.8,No,3.4
H00011,2025-04-02,9.3,4,14.4,No,3.7
H00011,2025-04-03,10.1,4,19.9,No,3.4
H00011,2025-04-04,9.1,4,20.6,No,3.4
H00011,2025-04-05,10.9,4,16.8,No,3.8
H00011,2025-04-06,10.7,4,18.4,No,3.6
H00011,2025-04-07,10.9,4,15.9,No,3.6
H00012,2025-04-01,9.9,3,10.0,Yes,4.5
H00012,2025-04-02,11.3,3,12.5,Yes,4.7
H00012,2025-04-03,12.8,3,16.2,Yes,5.8
H00012,2025-04-04,11.7,3,19.3,Yes,5.5
H00012,2025-04-05,11.4,3,17.5,Yes,5.7
H00012,2025-04-06,13.8,3,12.8,Yes,6.0
H00012,2025-04-07,11.5,3,14.5,Yes,4.7
H00013,2025-04-01,18.8,6,20.2,Yes,8.1
H00013,2025-04-02,20.0,6,15.2,Yes,8.5
H00013,2025-04-03,20.0,6,17.7,Yes,9.5
H00013,2025-04-04,19.5,6,16.2,Yes,7.8
H00013,2025-04-05,20.0,6,18.6,Yes,8.1
H00013,2025-04-06,20.0,6,18.6,Yes,8.8
H00013,2025-04-07,20.0,6,12.1,Yes,9.2
H00014,2025-04-01,19.8,5,16.3,Yes,8.9
H00014,2025-04-02,20.0,5,16.4,Yes,8.0
H00014,2025-04-03,18.2,5,18.4,Yes,8.2
H00014,2025-04-04,18.0,5,19.1,Yes,9.0
H00014,2025-04-05,20.0,5,22.7,Yes,9.1
H00014,2025-04-06,20.0,5,15.9,Yes,9.3
H00014,2025-04-07,17.0,5,16.6,Yes,8.2
H00015,2025-04-01,8.9,2,17.7,Yes,3.6
H00015,2025-04-02,8.2,2,18.0,Yes,3.6
H00015,2025-04-03,9.9,2,14.0,Yes,4.4
H00015,2025-04-04,6.4,2,15.4,Yes,2.7
H00015,2025-04-05,7.4,2,17.2,Yes,3.4
H00015,2025-04-06,7.3,2,15.3,Yes,3.3
H00015,2025-04-07,7.0,2,16.1,Yes,3.0
H00016,2025-04-01,11.6,4,18.2,Yes,5.4
H00016,2025-04-02,15.3,4,15.4,Yes,6.6
H00016,2025-04-03,11.9,4,15.0,Yes,5.9
H00016,2025-04-04,16.6,4,15.5,Yes,7.3
H00016,2025-04-05,13.5,4,10.9,Yes,6.5
H00016,2025-04-06,13.5,4,12.9,Yes,6.5
H00016,2025-04-07,16.0,4,16.9,Yes,7.5
H00017,2025-04-01,20.0,6,17.6,Yes,8.1
H00017,2025-04-02,20.0,6,17.7,Yes,8.6
H00017,2025-04-03,20.0,6,18.7,Yes,8.3
H00017,2025-04-04,20.0,6,17.8,Yes,8.2
H00017,2025-04-05,20.0,6,20.4,Yes,9.0
H00017,2025-04-06,20.0,6,17.6,Yes,10.0
H00017,2025-04-07,20.0,6,14.9,Yes,8.9
H00018,2025-04-01,13.2,6,18.4,No,4.9
H00018,2025-04-02,14.9,6,15.2,No,5.2
H00018,2025-04-03,14.2,6,18.1,No,5.4
H00018,2025-04-04,16.8,6,23.7,No,6.6
H00018,2025-04-05,15.5,6,15.0,No,5.3
H00018,2025-04-06,16.5,6,20.8,No,6.4
H00018,2025-04-07,16.4,6,18.5,No,6.1
